drive_file_id	title	mime_type	size_bytes	status	doc_slug_or_dash
1OSK8QSGLUQ90d49o0Poj-WZhLpI1CjlQ	2006 - Spherically focused capacitive-film, air-coupled ultrasonic transducer - Junho Sonh.pdf	application/pdf	601401	read	spherically-focused-capacitive-air-coupled-transducer-song-2006
18Qyyzlulo6s59CNdn5sL_bZSfbYzIBPl	2017 - Theoretical and experimental investigation of the pulse-echononlinearity acoustic sound fields of focused transducers - (2017) S Zhang .pdf	application/pdf	864923	read	pulse-echo-nonlinearity-focused-transducers-zhang-2017
1wh8rznrKrGE9lkl-lVyygZSPmVWavEnQ	1982 - Field patterns of pulsed, focused, ultrasonic radiators in attenuating and nonattenuating media - (1982) MM Goodsitt EL Madsen.pdf	application/pdf	2136433	read	field-patterns-pulsed-focused-radiators-goodsitt-1982
1jnwFstA-Q4jOLB0cScIyLhVBL7A40hjY	Focusing of ultrasonic beams - HJGohari.pdf	application/pdf	1305341	partial	focusing-of-ultrasound-beams-gohari
1tMWKuhLu9ot4AUCtMUaZAkfn5GtnOiuJ	1949 - Ultrasonic Lenses of Plastic Materials - (1949) Daniele Sette.pdf	application/pdf	176018	read	ultrasonic-lenses-plastic-materials-sette-1949
