drive_file_id	title	mime_type	size_bytes	status	doc_slug_or_dash
1LGRRrlYzbj9mLqKdMoZERqzY1IAFGMQJ	ASM International Handbook Committee (Eds.) - ASM Handbook, Volume 16 - Machining (1989, ASM International) - libgen.lc.pdf	application/pdf	-	unreadable	asm-handbook-vol16-machining
1e4Uv__-5ek_UXGwWbSk6c_CLTafk0Wk5	Peng Zhang - Advanced Industrial Control Technology (2010).pdf	application/pdf	-	partial	advanced-industrial-control-technology-zhang
1S75CrKmJutZeV2MpXGzBesjn7Wj9RZ3y	A I R C R A F T   S T A B I L I T Y   A N D   C O N T R O L.pdf	application/pdf	-	partial	aircraft-stability-and-control-carley
1jy3-1X3RCM51k6cYOZ_Vx_Ic0o98ic3n	2001 - Surface Roughness Analysis and Measurement Techniques 8403_PDF_CH02 - Bharat Bhushan.pdf	application/pdf	-	partial	surface-roughness-analysis-bhushan
