drive_file_id	title	mime_type	size_bytes	status	doc_slug_or_dash
1GaKDNwUNI0qz6Ntj3QogW01GrPGF4fke	AFWAL_TR-81-3041_VOL-II.pdf	application/pdf	-	partial	afwal-tr-81-3041-vol-ii
1AGeqJC1Dr7q7l8utYOU5wEjmwCwSfwxN	Part 2 - Michael Clifford An Introduction to Mechanical Engineering Part 2.pdf	application/pdf	-	partial	intro-mechanical-engineering-part2-clifford
1lQnB8jqd_QGUMEG7HQCQ9uCIv9BZ9wKt	mechanical_vibrations_5th-edition_s-s-rao.pdf	application/pdf	-	partial	mechanical-vibrations-5th-edition-rao
1FDz6e6RDFW9YyD7o8fTdBDH9knpO4lh_	ManualOfEngineeringDrawing.pdf	application/pdf	-	partial	manual-of-engineering-drawing
1XtK89svU1ybaEIK1YKL6eZWxulUaLOxE	dimensionless analysis BOOK.pdf	application/pdf	-	partial	dimensional-analysis-sonin
