drive_file_id	title	mime_type	size_bytes	status	doc_slug_or_dash
1cKmTbqP5uJn1BnFkHO9YZ5VfHiEX1Z46	2020 - Zhmud - Mastering the art of cylinder bore honing.pdf	application/pdf	3648827	read	zhmud-chobany-mastering-cylinder-bore-honing
1wHiHVNtoV8ymdAT4bxsAg6HAiySYCoui	ASH Handbook VOL 16 - machining - Honing -  1989.pdf	application/pdf	2518113	partial	asm-handbook-v16-honing
16PJPbO1UlhfEunBiH54E2uDY9OXlww5Z	CylinderBoreNoBkgd.pdf	application/pdf	1189325	read	malburg-cylinder-bore-surface-texture
