drive_file_id	title	mime_type	size_bytes	status	doc_slug_or_dash
1nQbLX5_Ni3Mzz--qqbt8gsbEY-RcPEgu	Investigation of the Bulk Modulus of Silica Aerogel Using Molecular Dynamics Simulations of a Coarse-Grained Model - (2013) CA Ferreiro-Rangel LD Gelb.pdf	application/pdf	2883467	read	bulk-modulus-silica-aerogel-md-coarse-grained
1xP59YGdMYgjAOWvcDDFryY_iBO2fZOXQ	Breath Figure- A Nature-Inspired Preparation Method for Ordered Porous Films - (2018) Aijuan Zhang Hua Bai and Lei Li.pdf	application/pdf	60516279	unreadable	breath-figure-ordered-porous-films-zhang
1epGDlASqwpq6XCP0dMLWkVQYeg-Y4qFz	Recent trends in surface metrology - (2011) TG Mathia.pdf	application/pdf	2478558	read	recent-trends-surface-metrology-mathia
1T_8-mZ1mYVACqx66FoNtqRPfz6-1rhFj	Three-Dimensionally Ordered Array of Air Bubbles in a Polymer Film - (2001) M Srinivasarao D Collings A Philips S Patel.pdf	application/pdf	692094	read	three-dimensionally-ordered-air-bubbles-polymer-film
