drive_file_id	title	mime_type	size_bytes	status	doc_slug_or_dash
13zsf_6J69t1VVnGSKy--8oPokHRxcmb9	2017 - EFFECT OF GEOMETRY AND IMPEDANCE VARIATION ON THE ACOUSTIC PERFORMANCE OF A POROUS MATERIAL LINED DUCT - Abdelmonem Masmoudi.pdf	application/pdf	5907835	read	geometry-impedance-porous-duct
1s8yjHy7lguTDPuihbhoH8wpXqzCnLLpt	2015 02 - One-dimensional pressure transfer models for acoustic–electric transmission channels - KR Wilt.pdf	application/pdf	928236	read	1d-pressure-transfer-acoustic-electric
1U3u9RE5ZEkoI1hGzJwg_HiD0QqCV7lfS	2013 08 - Global transmission and reflection coefficients of the ultrasonic component in porous media - A new approach - G.Nassar.pdf	application/pdf	905243	read	global-transmission-reflection-ultrasonic-porous
1zf7IcpW1X2MUllnjyDPT0kaQuanekfQS	Lowe_1995_Matrix Techniques for modeling ultrasonic waves in multilayered media.pdf	application/pdf	796622	read	matrix-techniques-multilayered-media-lowe
1WbT_p-GFVJj75js1qn3T3NA2rPdHCcEs	Numerical method for modeling of acoustic waves propagation.pdf	application/pdf	1043182	read	numerical-method-acoustic-waves-propagation
