drive_file_id	title	mime_type	size_bytes	status	doc_slug_or_dash
1801RKW9476vbsNuOFLiUXNrmT7bg92R0	Measuring Young's modulus the easy way, and tracing the effects of measurement uncertainties.pdf	application/pdf	955097	read	measuring-youngs-modulus-impulse-excitation
1EBM8hAsy8I1E-h8yDMdCJ09v9u67W39u	STAMINA white paper v6 2015-08-19.docx	application/vnd.openxmlformats-officedocument.wordprocessingml.document	2315449	read	stamina-white-paper
1rtOlj4hHve2kOJJENAymUIndNAwKqnjO	Ultrasonic nondestructive evaluation of cylindrical components by resonance acoustic spectroscopy_PREVIEW.pdf	application/pdf	559376	unreadable	ultrasonic-nde-cylindrical-resonance-spectroscopy
166hAi6SCteiTrqu1DrSmE5701jPVKQ8K	Ultrasonic spectrum analysis using frequency‐tracked gated rf pulses.pdf	application/pdf	826169	read	ultrasonic-spectrum-analysis-frequency-tracked-rf
1iSQQoL104ZoVNNryvIvWDOF7FR6d2uUt	Introduction to ultrasound and the multiple reflection method..docx	application/vnd.openxmlformats-officedocument.wordprocessingml.document	2750673	read	multiple-reflection-method-oil-film-model
