id	title	mime_type	size_bytes	status	doc_slug
1t7sDZ1316dMSv354oPd6Y-YVj7S86XRO	1947 - WP Mason - Viscosity and shear elasticity measurements.pdf	application/pdf		readable	mason-1947-shear-viscosity
1n2uW85JqJ-2QmAUgxawkG5uVP1BoG4vj	2008 - Roman Gr Maev - Acoustic Microscopy Fundamentals and Applications.pdf	application/pdf		partial	maev-acoustic-microscopy
1AHhhXCEoUGDZATzRBWbqCLWg8TFccPjF	2013_Bookmatter - Fundamentals of Piezoelectricity.pdf	application/pdf		partial	fundamentals-piezoelectricity-robotic
1dOF-gOwUXm7NW5j_yvLiGXiyQv6cg5tK	1981 - L Flax - Physical Acoustics Vol XV - Theory of Resonance Scattering.pdf	application/pdf		partial	flax-theory-resonance-scattering
1yRHbuq11X_9hs-k9LSMw_dqgbJIbdV5-	1990 - Good piezo reference pages.docx	application/vnd.openxmlformats-officedocument.wordprocessingml.document		partial	good-piezo-references
1dQ8Y_iLE7ZCqDs5WDsYN3W36QMJgvVam	Adiabatic Bulk Moduli.pdf	application/pdf		partial	adiabatic-bulk-moduli
1m4DJgDoqwxfxAJKcV6S14AEdizKIjjO7	06_Linear_Elasticity_03_Anisotropy.pdf	application/pdf		partial	anisotropic-elasticity-linear
1lvvyEGeUME6sPZGNQ4MVxYRcwRh1O8Hy	7-Nonlinear_Wave_Equation-22C-W15.pdf	application/pdf		partial	nonlinear-wave-equation
1NeDk9UFVL-S_VXORppO8-SUkzZKIb3RF	Auld Vol 1 (folder djvu).djvu	image/x-djvu		unreadable	auld-folder-collection
14BbEDV6zoNylXE4SWdeNZCXU-StVyomt	Auld Vol 1 annotated (folder djvu).djvu	image/x-djvu		unreadable	auld-folder-collection
1JE5n4JnPKmmev4vyxrJryAVR6ay3JFGi	Auld Vol 2 (folder djvu).djvu	image/x-djvu		unreadable	auld-folder-collection
10_Guw4clHhWJET8AtSMogblrNrHz23zw	2_01.pdf (AIP handbook section)	application/pdf		partial	acoustic-properties-materials-collection
1wWTqN-5k_B0mjIVOZb2mhhpRq24ZjlCd	aip-handbook-section3f(2).pdf	application/pdf		partial	acoustic-properties-materials-collection
1QFxV0-LQkxTdJFbMYOTJC5qX-68UlCKl	Speed of sound in various materials (RSHydro)	application/pdf		partial	acoustic-properties-materials-collection
1VO6SJBGj7Gub9VXdcjpIcddUGQptQ4	17_Ginzel.pdf	application/pdf		partial	acoustic-properties-materials-collection
1SkyPsFeaGzyEqvO-paIZKgE8lV6elUBY	Physical Acoustics Vol I-A (Mason 1964).pdf	application/pdf		partial	mason-physical-acoustics-collection
15HZJo-uMlaw5ZRbFFus-_oYRAFvkA7eN	Physical Acoustics Vol II-A (Mason 1965).pdf	application/pdf		partial	mason-physical-acoustics-collection
1HRy723RjvNz-HXgvAoUlYNG3P2BQWrMO	Physical Acoustics Vol II-B (Mason 1965).pdf	application/pdf		partial	mason-physical-acoustics-collection
1c6dISdmoNoi36i3stCvjPQhl4UAyb026	Physical Acoustics Vol VIII (Mason 1971).pdf	application/pdf		partial	mason-physical-acoustics-collection
1m8ZH__xfmq4dK_yWpGXJSTy4gDqhJPQR	Physical Acoustics Vol XI (Mason 1975).pdf	application/pdf		partial	mason-physical-acoustics-collection
15gk6mhH9aQzaLed1qEYlUWNb4sKloLwu	Physical Acoustics Vol XIII (Mason 1977).pdf	application/pdf		partial	mason-physical-acoustics-collection
1h-zcgcR-blCYesHnz9-ssbBFg82HsTi1	Physical Acoustics Vol III-B.djvu	image/x-djvu		unreadable	mason-physical-acoustics-collection
1ySYRN5H0rGHyMm6xV3DsqxkiVoV5hfHo	Physical Acoustics Vol IV-A.djvu	image/x-djvu		unreadable	mason-physical-acoustics-collection
1kc8AsjONOVeh6ewlsZnU5PTA7ySa_ssU	Physical Acoustics Vol IV-B.djvu	image/x-djvu		unreadable	mason-physical-acoustics-collection
145YahX5PYttXY634zgLcVUhm2uzMewr2	Physical Acoustics Vol V.djvu	image/x-djvu		unreadable	mason-physical-acoustics-collection
1w_GKhmNAfJNRrzMc3mGNEm3XTyGUx3vu	Physical Acoustics Vol VI.djvu	image/x-djvu		unreadable	mason-physical-acoustics-collection
16QiOymmj5MWi82gIE0d8ogQVjGF1ctJ_	Physical Acoustics Vol VII.djvu	image/x-djvu		unreadable	mason-physical-acoustics-collection
