drive_file_id	title	mime_type	size_bytes	status	doc_slug_or_dash
1bCNKsWCFYb_aExaFX--gGmjHVSVlWQXc	Propagation of acoustic waves in a one-dimensional array of noncohesive cylinders - G Huillard (2011).pdf	application/pdf	736279	read	acoustic-waves-noncohesive-cylinders-huillard-2011
1kgJoPR8dBdqYtvBoq3bOKEaZ_6pv3LNT	The Real-Time Characterisation of Dry Machine Element Contacts Using Ultrasonic Reflectometry - (2013) H. Brunskill - Thesis.pdf	application/pdf	6383429	partial	brunskill-2013-thesis-ultrasonic-reflectometry
1vaY7qD9ESMgTS-gkTSqy0yerD8Bz7Nxd	Phase shift of the reflection coefficient of ultrasonic waves in the study of the contact interface.pdf	application/pdf	925453	read	phase-shift-reflection-coefficient-krolikowski-1992
1x49jtQcHy1FBaGV9Z_GXSznhF6765oid	An Ultrasonic Study of the Area of Contact between Stationary and Sliding Surfaces_K Kendall and D Tabor.pdf	application/pdf	781896	read	kendall-tabor-1971-ultrasonic-contact-area
1eYj_zbAMFgSH699NcH5K9xZ06UKy0hJJ	Prediction of contact parameters using ultrasonic method.pdf	application/pdf	1052040	read	prediction-contact-parameters-ultrasonic-krolikowski-1991
1mJ6-pcZpov87d6TZJPmMRsd8mP-9yPYE	Ultrasonic scattering from imperfect interfaces- A quasi-static model.pdf	application/pdf	1305737	read	ultrasonic-scattering-imperfect-interfaces-baik-thompson-1984
1PVrEdecelKgmba_7EodFszj9wflp_k2w	Novel stage for ultrasonic measurement of real contact area between rough and flat parts under quasi-static load.pdf	application/pdf	459122	read	novel-stage-ultrasonic-rca-measurement-polijaniuk-1993
1hyrEUEHnXErbGm34ZulhBNjaW3QijBtJ	A study of the interaction between ultrasound and a partially contacting solid–solid interface.pdf	application/pdf	640574	read	interaction-ultrasound-partially-contacting-interface-drinkwater-1996
1T6nZx67cauJorIWNzKUOuVaak5A9iN0N	Ultrasonic investigation of contact between solids under high hydrostatic pressure.pdf	application/pdf	646632	read	ultrasonic-investigation-high-hydrostatic-pressure-krolikowski-1989
