drive_file_id	title	mime_type	size_bytes	status	doc_slug_or_dash
1H-i2FRttrhpKprQj_eXbifcxiglBW6M2	Analysis of beams with non-uniform temperature profile due to fire exposure (1990) IW Burgess.pdf	application/pdf	954088	read	burgess-beams-nonuniform-temperature-fire-1990
1hWO6V4J2ju0P9RZ5Z7JP8mXWxE88-Gfy	Introduction to engineering heat transfer.pdf	application/pdf	897546	partial	introduction-to-engineering-heat-transfer
1ijuX2uojF8wN-gsbVIQwHIitpstoifIi	Thermophysical Properties of Matter - The TPRC Data Series. Volume 1. Thermal Conductivity - Metallic Elements and Alloys.pdf	application/pdf	59678956	unreadable	tprc-thermal-conductivity-metallic-elements-alloys-vol1
